[2025-10-03 10:12:22] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 117
[2025-10-03 10:12:22] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.007 ms | Packet Loss: 1 | Total Packet: 118
[2025-10-03 10:12:23] Process: UPLOAD_TEMPLATE | Latency: 0.007 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 119
[2025-10-03 10:12:23] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.005 ms | Packet Loss: 1 | Total Packet: 120
[2025-10-03 10:12:24] Process: UPLOAD_TEMPLATE | Latency: 0.018 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 121
[2025-10-03 10:12:24] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 122
[2025-10-03 10:12:25] Process: UPLOAD_TEMPLATE | Latency: 0.008 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.004 ms | Packet Loss: 1 | Total Packet: 123
[2025-10-03 10:12:25] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.005 ms | Packet Loss: 1 | Total Packet: 124
[2025-10-03 10:12:26] Process: UPLOAD_TEMPLATE | Latency: 0.007 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 125
[2025-10-03 10:12:26] Process: UPLOAD_TEMPLATE | Latency: 0.011 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.004 ms | Packet Loss: 1 | Total Packet: 126
[2025-10-03 10:12:27] Process: UPLOAD_TEMPLATE | Latency: 0.009 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.002 ms | Packet Loss: 1 | Total Packet: 127
[2025-10-03 10:12:27] Process: UPLOAD_TEMPLATE | Latency: 0.015 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 128
[2025-10-03 10:12:28] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.009 ms | Packet Loss: 1 | Total Packet: 129
[2025-10-03 10:12:28] Process: UPLOAD_TEMPLATE | Latency: 0.010 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.004 ms | Packet Loss: 1 | Total Packet: 130
[2025-10-03 10:12:29] Process: UPLOAD_TEMPLATE | Latency: 0.016 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 131
[2025-10-03 10:12:29] Process: UPLOAD_TEMPLATE | Latency: 0.010 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 132
[2025-10-03 10:12:30] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.004 ms | Packet Loss: 1 | Total Packet: 133
[2025-10-03 10:12:30] Process: UPLOAD_TEMPLATE | Latency: 0.030 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.024 ms | Packet Loss: 1 | Total Packet: 134
[2025-10-03 10:12:31] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.018 ms | Packet Loss: 1 | Total Packet: 135
[2025-10-03 10:12:31] Process: UPLOAD_TEMPLATE | Latency: 0.014 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.002 ms | Packet Loss: 1 | Total Packet: 136
[2025-10-03 10:12:31] Process: UPLOAD_TEMPLATE | Latency: 0.017 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.003 ms | Packet Loss: 1 | Total Packet: 137
